,Ticker,Name,Market,Panel,Sector,Sub-Sector,Comment,Name(EN),Company Code(12),Ticker(4),Ticker(5),Ticker(12),Sector Code,Sub-Sector Code,Panel Code,Idx
540,وسپهر,سرمایه گذاری گروه سپهرصادرات,فرابورس,بازار اول فرابورس,سرمایه گذاریها,سایر واسطه های مالی,-,SepehrSaderat Inv.,IRO3SAIZ0007,SAIZ,SAIZ1,IRO3SAIZ0001,56,5699,1,1541
541,وطوبی,سرمایه گذاری اقتصاد شهر طوبی,فرابورس,بازار اول فرابورس,سرمایه گذاریها,سایر واسطه های مالی,-,Toba Inv.,IRO3TOIZ0000,TOIZ,TOIZ1,IRO3TOIZ0001,56,5699,1,1542
542,وکبهمن,مدیریت سرمایه گذاری کوثربهمن,فرابورس,بازار اول فرابورس,سرمایه گذاریها,سایر واسطه های مالی,-,KBahman Inv. Mng.,IRO3KBIZ0004,KBIZ,KBIZ1,IRO3KBIZ0001,56,5699,1,1543
543,وگستر,گسترش سرمایه گذاری ایرانیان,فرابورس,بازار اول فرابورس,سرمایه گذاریها,سایر واسطه های مالی,-,Iranian Investment,IRO3IRNZ0003,IRNZ,IRNZ1,IRO3IRNZ0001,56,5699,1,1544
544,ولبهمن,شرکت بهمن لیزینگ,فرابورس,بازار اول فرابورس,سایر واسطه گریهای مالی,لیزینگ مالی,-,Bahman Liz.,IRO3BHLZ0004,BHLZ,BHLZ1,IRO3BHLZ0001,58,5891,1,1545
545,ولشرق,لیزینگ ایران و شرق,فرابورس,بازار اول فرابورس,سایر واسطه گریهای مالی,لیزینگ مالی,-,Iran & Shargh Lsg.,IRO3ISLZ0004,ISLZ,ISLZ1,IRO3ISLZ0001,58,5891,1,1546
546,ومعلم,بیمه معلم,فرابورس,بازار دوم فرابورس,بیمه وصندوق بازنشستگی به جزتامین اجتماعی,بیمه غیرزندگی,-,Moallem Insurance,IRO3MOIZ0007,MOIZ,MOIZ1,IRO3MOIZ0001,66,6603,3,1547
547,وملل,اعتباری ملل,فرابورس,بازار دوم فرابورس,بانکها و موسسات اعتباری,سایر واسطه های پولی,-,Melal Credit Inst.,IRO3ASKZ0003,ASKZ,ASKZ1,IRO3ASKZ0001,57,5719,3,1548
548,وهامون,سرمایه گذاری هامون صبا,فرابورس,بازار اول فرابورس,سرمایه گذاریها,سایر واسطه های مالی,-,Hamoon Saba Inv.,IRO3HAIZ0000,HAIZ,HAIZ1,IRO3HAIZ0001,56,5699,1,1549
549,وهور,مدیریت انرژی امید تابان هور,فرابورس,بازار دوم فرابورس,عرضه برق، گاز، بخاروآب گرم,تولید انتقال و توزیع نیروی برق,-,Omid Taban Hoor,IRO3HORZ0003,HORZ,HORZ1,IRO3HORZ0001,40,4010,3,1550
550,شتهران,داروسازی تهران شیمی,پایه نارنجی,بازار پایه نارنجی فرابورس,مواد و محصولات دارویی,تولید داروهای شیمیایی و گیاهی, لغو پذیرش شده,Tehran Chemie Phar,IRO7THSP0005,THSP,THSP1,IRO7THSP0001,43,4323,7,1551
551,دقاضی,داروسازی شهید قاضی,پایه زرد,بازار پایه زرد فرابورس,مواد و محصولات دارویی,تولید داروهای شیمیایی و گیاهی, لغو پذیرش شده,Sh. Ghazi Pharmacy,IRO7GPHP0003,GPHP,GPHP1,IRO7GPHP0001,43,4323,7,1552
552,کارام,صنایع سرام آرا,پایه زرد,بازار پایه زرد فرابورس,کاشی و سرامیک,تولید گل و سرامیک ساختمانی, قانون احکام دائمی برنامه های توسعه کشور,Ceram Ara Ind.,IRO7CEIP0009,CEIP,CEIP1,IRO7CEIP0001,49,4993,7,1553
553,فن آوا,گروه فن آوا,پایه زرد,بازار پایه زرد فرابورس,رایانه و فعالیت های وابسته به آن,سایر فعالیت های رایانه ای, قانون احکام دائمی برنامه های توسعه کشور,FanAva Co.,IRO7FANP0003,FANP,FANP1,IRO7FANP0001,72,7200,7,1554
